# key	english	bulgarian	french	russian
SteamAchievements/NEW_ACHIEVEMENT_1_24_NAME	Arm Wrestler	Борец на ръце	Bras de Fer	Армрестлер
SteamAchievements/NEW_ACHIEVEMENT_1_24_DESC	Reach max level of strength	Стигни до максимално ниво на сила	Atteindre le niveau maximum de force	Улучшите силу до максимума
SteamAchievements/NEW_ACHIEVEMENT_1_25_NAME	Project Iceworm	Проект Леден Червей	Projet Iceworm	«Проект „Ледяной червь“»
SteamAchievements/NEW_ACHIEVEMENT_1_25_DESC	Read a book about surviving in low temperatures	Прочети книга за оцеляване при ниски температури	Lire un livre sur la survie par grand froid	Прочитайте книгу о выживании при низких температурах
SteamAchievements/NEW_ACHIEVEMENT_1_26_NAME	Straight to the Grandma's House	Направо към къщата на баба	Directement à la Maison de Grand-mère	В гости к бабушке
SteamAchievements/NEW_ACHIEVEMENT_1_26_DESC	Reach max level of trust with Jenny	Стигни максимално ниво на доверие с Джени	Atteindre le niveau de confiance maximal avec Jenny	Достигните максимального уровня доверия с Дженни
SteamAchievements/NEW_ACHIEVEMENT_1_27_NAME	Comics & Mining Convention	Комикси и миньорска конвенция	Convention sur les Comics et les Mines	Слет любителей комиксов и шахт
SteamAchievements/NEW_ACHIEVEMENT_1_27_DESC	Reach max level of trust with Bob	Стигни максимално ниво на доверие с Боб	Atteindre le niveau de confiance maximal avec Bob	Достигните максимального уровня доверия с Бобом
SteamAchievements/NEW_ACHIEVEMENT_1_28_NAME	Chupacabra Approved	Одобрено от Чупакабра	Approuvé par Chupacabra	Чупакабра одобряет
SteamAchievements/NEW_ACHIEVEMENT_1_28_DESC	Reach max level of trust with Joe	Стигни максимално ниво на доверие с Джо	Atteindre le niveau de confiance maximal avec Joe	Достигните максимального уровня доверия с Джо
SteamAchievements/NEW_ACHIEVEMENT_1_29_NAME	First Tool	Първи инструмент	Premier Outil	Первый инструмент
SteamAchievements/NEW_ACHIEVEMENT_1_29_DESC	Craft a pickaxe	Изработи кирка	Fabriquer une pioche	Изготовьте кирку
SteamAchievements/NEW_ACHIEVEMENT_1_30_NAME	Miner	Миньор	Mineur	Шахтер
SteamAchievements/NEW_ACHIEVEMENT_1_30_DESC	Use 50 units of fuel in the mining machines	Използвай 50 единици гориво в мините.	Utiliser 50 unités de carburant dans les machines de forage	Используйте 50 единиц топлива в добывающей машине
SteamAchievements/NEW_ACHIEVEMENT_1_31_NAME	Observing the Past	Наблюдавайки миналото	Observer le Passé	Наблюдая за прошлым
SteamAchievements/NEW_ACHIEVEMENT_1_31_DESC	Reach Fort Observer	Стигни до Форт Наблюдател	Atteindre Fort Observer	Доберитесь до военной базы «Наблюдатель»
SteamAchievements/NEW_ACHIEVEMENT_33_0_NAME	The Best Penpal	Най-добрият приятел по кореспонденция	Le Meilleur Correspondant	Лучший друг по переписке
SteamAchievements/NEW_ACHIEVEMENT_33_0_DESC	Reach max level of trust with Minuteman	Достигни максимално ниво на доверие с Минуteman	Atteindre le niveau de confiance maximal avec Minuteman	Достигните максимального уровня доверия с Минитменом
SteamAchievements/NEW_ACHIEVEMENT_33_1_NAME	Home Decorator	Декоратор на дома	Décorateur d'Intérieur	Декоратор
SteamAchievements/NEW_ACHIEVEMENT_33_1_DESC	Have lamps in all colors at the same time	Имаш лампи във всички цветове едновременно	Avoir des lampes de toutes les couleurs en même temps	Одновременно разместите лампы всех цветов
SteamAchievements/NEW_ACHIEVEMENT_33_2_NAME	Wolf Slayer	Убиец на вълци	Tueur de loups	Гроза волков
SteamAchievements/NEW_ACHIEVEMENT_33_2_DESC	Kill 100 wolves	Убий 100 вълка	Tuer 100 loups	Убейте 100 волков
SteamAchievements/NEW_ACHIEVEMENT_33_3_NAME	Sleepyhead	Сънливко	Endormi	Соня
SteamAchievements/NEW_ACHIEVEMENT_33_3_DESC	Nap during the day	Дремни през деня	Faire la sieste pendant la journée	Задремайте посреди дня
SteamAchievements/NEW_ACHIEVEMENT_33_4_NAME	Car Mechanic 	Механик на коли	Mécanicien Automobile	Автомеханик
SteamAchievements/NEW_ACHIEVEMENT_33_4_DESC	Fix the car in the junkyard	Поправи колата в автоморгата	Réparer la voiture dans la décharge	Почините машину на свалке
SteamAchievements/NEW_ACHIEVEMENT_33_5_NAME	Rocketman	Ракетамен	Rocketman	Рокетмен
SteamAchievements/NEW_ACHIEVEMENT_33_5_DESC	Build the rocket	Построй ракетата	Construire la fusée	Соорудите ракету
SteamAchievements/NEW_ACHIEVEMENT_33_6_NAME	Popular Kid	Популярен хлапак	Gamin Populaire	Знаменитость
SteamAchievements/NEW_ACHIEVEMENT_33_6_DESC	Reach max level of trust with all sellers	Достигни максимално ниво на доверие с всички продавачи	Atteindre le niveau de confiance maximal avec tous les vendeurs	Достигните максимального уровня доверия со всеми продавцами
SteamAchievements/NEW_ACHIEVEMENT_33_7_NAME	Kung Fu Fighting	Бой с кунг-фу	Kung Fu Fighting	Боец кунг-фу
SteamAchievements/NEW_ACHIEVEMENT_33_7_DESC	Kill a wolf with your fists only	Убий вълк само с юмруци.	Tuer un loup à mains nues uniquement	Убейте волка одними кулаками
SteamAchievements/NEW_ACHIEVEMENT_33_8_NAME	Gunslinger	Стрелец	Pistolero	Стрелок
SteamAchievements/NEW_ACHIEVEMENT_33_8_DESC	Fire 6 bullets in 3 seconds with a revolver	Изстреляй 6 куршума за 3 секунди с револвер	Tirer 6 balles en 3 secondes avec un revolver	Выстрелите из револьвера 6 раз за 3 секунды
SteamAchievements/NEW_ACHIEVEMENT_33_9_NAME	Vampire Hunter	Ловец на вампири	Chasseur de Vampire	Охотник на вампиров
SteamAchievements/NEW_ACHIEVEMENT_33_9_DESC	Kill 60 bats	Убий 60 прилепа	Tuer 60 chauves-souris	Убейте 60 летучих мышей
SteamAchievements/NEW_ACHIEVEMENT_33_10_NAME	Sleepless	Безсънен	Éveillé	Неспящий
SteamAchievements/NEW_ACHIEVEMENT_33_10_DESC	Get a drug to stay awake through the night	Вземи наркотик, за да останеш буден през нощта	Prendre un médicament pour rester éveillé toute la nuit	Примите лекарство, чтобы не спать всю ночь
SteamAchievements/NEW_ACHIEVEMENT_33_11_NAME	Everything is Bob	Всичко е наред	Bob est Partout	Вездесущий Боб
SteamAchievements/NEW_ACHIEVEMENT_33_11_DESC	Inspect every plant in the game	Прегледай всяко растение в играта	Inspecter chaque plante du jeu	Осмотрите каждое растение в игре
SteamAchievements/NEW_ACHIEVEMENT_33_12_NAME	Novice Prepper	Нов препър	Prepper Novice	Выживальщик-новичок
SteamAchievements/NEW_ACHIEVEMENT_33_12_DESC	Survive 1 month	Преживей 1 месец	Survivre 1 mois	Выживайте в течение 1 месяца
SteamAchievements/NEW_ACHIEVEMENT_33_13_NAME	Intermediate Prepper	Среден препър	Prepper Intermédiaire	Выживальщик средней руки
SteamAchievements/NEW_ACHIEVEMENT_33_13_DESC	Survive 2 months	Преживей 2 месеца	Survivre 2 mois	Выживайте в течение 2 месяцев
SteamAchievements/NEW_ACHIEVEMENT_33_14_NAME	Advanced Prepper	Напреднал препър	Prepper Avancé	Опытный выживальщик
SteamAchievements/NEW_ACHIEVEMENT_33_14_DESC	Survive 4 months	Преживей 4 месеца	Survivre 4 mois	Выживайте в течение 4 месяцев
SteamAchievements/NEW_ACHIEVEMENT_33_15_NAME	The Original Prepper	Оригиналният Препър	Le Prepper Original	Прирожденный выживальщик
SteamAchievements/NEW_ACHIEVEMENT_33_15_DESC	Survive 1 year	Преживей 1 година	Survivre 1 année	Выживайте в течение 1 года
SteamAchievements/NEW_ACHIEVEMENT_33_16_NAME	Slacker	Мързеливец	Flemmard\n	Лежебока
SteamAchievements/NEW_ACHIEVEMENT_33_16_DESC	Nap 3 times on 1 day	Подремни 3 пъти за 1 ден.	Faire la sieste 3 fois en 1 jour	Задремайте трижды за 1 день
SteamAchievements/NEW_ACHIEVEMENT_33_17_NAME	No time to waste, there's prepping to do!	Няма време за губене, има препър за правене!	Pas de temps à perdre, il faut se Préparer!	Нечего спать, пора выживать!
SteamAchievements/NEW_ACHIEVEMENT_33_17_DESC	Do not nap for 7 days	Не дремвай 7 дни	Ne pas faire de sieste pendant les 30 premiers jours	Не дремайте в течение 30 первых дней
SteamAchievements/NEW_ACHIEVEMENT_33_18_NAME	Government Property	Имот на правителството	Propriété du Gouvernement	Государственная собственность
SteamAchievements/NEW_ACHIEVEMENT_33_18_DESC	Keep your house unchanged for 7 days	Дръж къщата си непроменена 7 дни	Garder la maison inchangée pendant les 30 premiers jours	В течение первых 30 дней ничего не меняйте в доме
SteamAchievements/NEW_ACHIEVEMENT_33_19_NAME	Blueberrylicious	Синя боровинка вкусна	Myrtillelicieux	Объягодение
SteamAchievements/NEW_ACHIEVEMENT_33_19_DESC	Survive 7 days on blueberries only	Преживей 7 дни само на боровинки	Survivre les 30 premiers jours avec uniquement des\nmyrtilles	Выживите первые 30 дней, питаясь только черникой
SteamAchievements/NEW_ACHIEVEMENT_33_20_NAME	Booksmart	Умни книжки	Intello	Книгочей
SteamAchievements/NEW_ACHIEVEMENT_33_20_DESC	Read all the skills books	Прочети всички книги със умения	Lire tous les livres de compétences	Прочитайте все книги навыков
SteamAchievements/NEW_ACHIEVEMENT_33_21_NAME	The Poacher	Бракониерът	Le Braconnier	Браконьер
SteamAchievements/NEW_ACHIEVEMENT_33_21_DESC	Catch 50 animals with traps	Улови 50 животни с капани	Attraper 50 animaux avec des pièges	Поймайте 50 животных в капканы
SteamAchievements/NEW_ACHIEVEMENT_33_22_NAME	Invincible	Непобедим	Invincible	Неуязвимый
SteamAchievements/NEW_ACHIEVEMENT_33_22_DESC	Complete the game without fainting	Завърши играта без да припаднеш.	Terminer le jeu sans s'évanouir	Пройдите игру, ни разу не потеряв сознания
SteamAchievements/NEW_ACHIEVEMENT_33_23_NAME	Fair Trial	Справедлив процес	Procès Équitable	Справедливый суд
SteamAchievements/NEW_ACHIEVEMENT_33_23_DESC	Get arrested	Бъди арестуван	Être arreté	Попадите под стражу
SteamAchievements/NEW_ACHIEVEMENT_33_24_NAME	Gentleman	Джентълмен	Gentleman	Джентльмен
SteamAchievements/NEW_ACHIEVEMENT_33_24_DESC	Do not run for 7 days	Не бягай 7 дни	Ne pas courir pendant les 30 premiers jours	Не бегайте в течение первых 30 дней
SteamAchievements/NEW_ACHIEVEMENT_33_25_NAME	Speedrunner	Бързоходец	Speedrunner	Спидранер
SteamAchievements/NEW_ACHIEVEMENT_33_25_DESC	Finish the game in 30 days	Завърши играта за 30 дни	Terminer le jeu en 30 jours	Пройдите игру за 30 дней
SteamAchievements/NEW_ACHIEVEMENT_33_26_NAME	Counting Stars	Броене на звезди	Compter les étoiles 	Считая звезды
SteamAchievements/NEW_ACHIEVEMENT_33_26_DESC	Collect all names in the credits	Събери всички имена в кредитите	Collecter tous les noms dans les crédits	Соберите все имена в титрах
SteamAchievements/NEW_ACHIEVEMENT_33_27_NAME	Perfect Ending	Перфектен край	Fin Parfaite	Идеальное завершение
SteamAchievements/NEW_ACHIEVEMENT_33_27_DESC	Get full ending	Получи пълния край	Obtenir la fin complète 	Выйдете на полную концовку
SteamAchievements/				
SteamAchievements/NEW_ACHIEVEMENT_33_29_NAME	White Sands Farm	Ферма "Бели пясъци"	Ferme de White Sands	Ферма «Белые пески»
SteamAchievements/NEW_ACHIEVEMENT_33_29_DESC	Visit the farm for the first time	Посети фермата за първи път	Allez voir la ferme de White Sands pour la première fois	Посетите ферму в первый раз
SteamAchievements/NEW_ACHIEVEMENT_33_30_NAME	Employee of the Month	Служител на месеца	L'employé du mois	Работник месяца
SteamAchievements/NEW_ACHIEVEMENT_33_30_DESC	Repair everything that can be repaired on the farm	Поправи всичко, което може да се поправи на фермата.	Réparez tout ce qui peut l'être dans la ferme	Почините на ферме все, что только можно
SteamAchievements/NEW_ACHIEVEMENT_33_31_NAME	The Lake	Езерото	Le Lac	Озеро
SteamAchievements/NEW_ACHIEVEMENT_33_31_DESC	Discover the lake	Открий езерото	Découvrez le lac	Откройте озеро
SteamAchievements/NEW_ACHIEVEMENT_43_0_NAME	Abduction	Отвличане	Enlèvement	Похищение
SteamAchievements/NEW_ACHIEVEMENT_43_0_DESC	Get abducted by the UFO	Бъди отвлечен от НЛО	Faites-vous enlever par l'OVNI	Окажитесь похищенными НЛО
SteamAchievements/NEW_ACHIEVEMENT_43_1_NAME	Until Dawn	До зори	Jusqu'à l'aube	Дожить до рассвета
SteamAchievements/NEW_ACHIEVEMENT_43_1_DESC	Escape the UFO 	Избягай от НЛО-то	Échappez-vous de l'OVNI	Сбегите от НЛО
SteamAchievements/NEW_ACHIEVEMENT_43_2_NAME	Skub the Shoemaker	Skub обущарят	Skub le cordonnier	Сапожник Скуб
SteamAchievements/NEW_ACHIEVEMENT_43_2_DESC	Destroy the UFO	Разруши НЛО-то	Détruisez l'OVNI	Уничтожьте НЛО
SteamAchievements/NEW_ACHIEVEMENT_43_3_NAME	Search and Rescue	Търсене и спасяване	Mission de sauvetage	Поисково-спасательная операция
SteamAchievements/NEW_ACHIEVEMENT_43_3_DESC	Find all the missing animals	Намери всички липсващи животни	Trouvez tous les animaux manquants	Найдите всех пропавших животных
SteamAchievements/NEW_ACHIEVEMENT_43_4_NAME	Egg Hunt	Търсене на яйца	Chasse aux œufs	Охота за яйцами
SteamAchievements/NEW_ACHIEVEMENT_43_4_DESC	Collect 60 eggs from chickens	Събери 60 яйца от кокошките.	Rassemblez 60 œufs de poule	Соберите 60 куриных яиц
SteamAchievements/NEW_ACHIEVEMENT_43_5_NAME	Milkman	Млекар	Le Laitier	Молочник
SteamAchievements/NEW_ACHIEVEMENT_43_5_DESC	Collect 100 milk units by milking animals	Събери 100 единици мляко, като доиш животни.	Rassemblez 100 unités de lait par animal laitier	Выдоите 100 единиц молока животных
SteamAchievements/NEW_ACHIEVEMENT_43_6_NAME	Hamster-powered	Захранван от хамстери	Énergie hamsterienne	Хомячковая энергия
SteamAchievements/NEW_ACHIEVEMENT_43_6_DESC	Have the whole shelter powered by hamsters only	Захранвай целия бункер само с хамстери	Alimentez tout votre abris avec de l'électricité produite par les hamsters	Запитайте убежище электричеством только от хомячков
SteamAchievements/NEW_ACHIEVEMENT_43_7_NAME	Beekeeper	Пчелар	Apiculteur	Пчеловод
SteamAchievements/NEW_ACHIEVEMENT_43_7_DESC	Collect 30 units of honey from beehives	Събери 30 единици мед от кошерите.	Rassemblez 30 unités de miel dans votre rucher	Соберите 30 единиц меды из ульев
SteamAchievements/NEW_ACHIEVEMENT_43_8_NAME	Dog Owner	Стопанин на куче	Propriétaire de chien	Собаковод
SteamAchievements/NEW_ACHIEVEMENT_43_8_DESC	Reach the 1st friendship level with Xeno	Постигни 1-во ниво на приятелство с Xeno	Atteignez le premier niveau d'amitié avec Xeno	Достигните первого уровня дружбы с Ксено
SteamAchievements/NEW_ACHIEVEMENT_43_9_NAME	Dog Person	Човекът-куче	Amateur de chiens	Любитель собак
SteamAchievements/NEW_ACHIEVEMENT_43_9_DESC	Reach the 2nd friendship level with Xeno	Достигни 2-ро ниво на приятелство с Xeno	Atteignez le second niveau d'amitié avec Xeno	Достигните второго уровня дружбы с Ксено
SteamAchievements/NEW_ACHIEVEMENT_43_10_NAME	Best Friend	Най-добър приятел	Meilleur ami	Лучший друг
SteamAchievements/NEW_ACHIEVEMENT_43_10_DESC	Reach maximum friendship level with Xeno	Стигни до максимално ниво на приятелство с Xeno	Atteignez le niveau d'amitié maximum avec Xeno	Достигните максимального уровня дружбы с Ксено
SteamAchievements/NEW_ACHIEVEMENT_43_11_NAME	Gotta Pet 'Em All	Трябва да ги галиш всичките	Caressez-les tous	Погладь их всех
SteamAchievements/NEW_ACHIEVEMENT_43_11_DESC	Pet all the animal types	Погали всички видове животни.	Caressez tous les types d'animaux	Погладьте животных всех видов
SteamAchievements/NEW_ACHIEVEMENT_43_12_NAME	Maze Runner	Търсач на лабиринти	Coureur de labyrinthe	Бегущий в лабиринте
SteamAchievements/NEW_ACHIEVEMENT_43_12_DESC	Unlock maximum maze level	Отключи максималното ниво на лабиринта	Débloquez le niveau de labyrinthe le plus élevé	Разблокируйте максимальный уровень лабиринта
SteamAchievements/NEW_ACHIEVEMENT_43_13_NAME	Night Runner	Нощен бегач	Coureur nocturne	Бегущий в ночи
SteamAchievements/NEW_ACHIEVEMENT_43_13_DESC	Finish the 5th level of the night maze	Завърши 5-то ниво на нощната пътека	Terminez le 5eme niveau de labyrinthe nocturne	Пройдите пятый уровень ночного лабиринта
SteamAchievements/NEW_ACHIEVEMENT_43_14_NAME	Golden Fish	Златна рибка	Poisson doré	Золотая рыбка
SteamAchievements/NEW_ACHIEVEMENT_43_14_DESC	Catch golden fish	Улови златна рибка	Attrapez un poisson doré	Выловите золотую рыбу
SteamAchievements/NEW_ACHIEVEMENT_43_15_NAME	The Fisher King	Кралят на рибарите	Roi des pêcheurs	Повелитель рыб
SteamAchievements/NEW_ACHIEVEMENT_43_15_DESC	Catch all the fish types	Улови всички видове риба	Attrapez toutes les espèces de poissons	Поймайте рыбу всех видов
SteamAchievements/NEW_ACHIEVEMENT_43_16_NAME	Novice Fisherman	Новобранец Рибар	Pêcheur débutant	Начинающий рыбак
SteamAchievements/NEW_ACHIEVEMENT_43_16_DESC	Reach the novice fisherman rank	Стани начинаещ рибар	Atteignez le niveau de pêcheur débutant	Достигните в рыболовстве уровня новичка
SteamAchievements/NEW_ACHIEVEMENT_43_17_NAME	Apprentice Fisherman	Рибар-ученик	Apprenti pêcheur	Рыбак-любитель
SteamAchievements/NEW_ACHIEVEMENT_43_17_DESC	Reach the apprentice fisherman rank	Стани чирак рибар.	Atteignez le niveau d'apprenti pêcheur	Достигните в рыболовстве уровня любителя
SteamAchievements/NEW_ACHIEVEMENT_43_18_NAME	Advanced Fisherman	Напреднал рибар	Pêcheur avancé	Продвинутый рыбак
SteamAchievements/NEW_ACHIEVEMENT_43_18_DESC	Reach the advanced fisherman rank	Стани напреднал рибар	Atteignez le niveau de pêcheur avancé	Достигните в рыболовстве продвинутого уровня
SteamAchievements/NEW_ACHIEVEMENT_43_19_NAME	Expert Fisherman	Експертен рибар	Pêcheur expert	Рыбак-эксперт
SteamAchievements/NEW_ACHIEVEMENT_43_19_DESC	Reach the expert fisherman rank	Стани експертен рибар	Atteignez le niveau de pêcheur expert	Достигните в рыболовстве уровня эксперта
SteamAchievements/NEW_ACHIEVEMENT_43_20_NAME	Master Fisherman	Майстор рибар	Maître pêcheur	Мастер-рыбак
SteamAchievements/NEW_ACHIEVEMENT_43_20_DESC	Reach the master fisherman rank	Стани майстор рибар	Atteignez le niveau de maître pêcheur	Достигните в рыболовстве уровня мастера
SteamAchievements/NEW_ACHIEVEMENT_44_1_NAME	Initiating Chain Reaction	Започване на верижна реакция	Déclenchement de la réaction en chaîne\n	Инициация цепной реакции\n
SteamAchievements/NEW_ACHIEVEMENT_44_1_DESC	Visit the nuclear power plant for the first time	Посети ядрената електроцентрала за първи път	Visitez la centrale nucléaire pour la première fois\n	Посетите атомную электростанцию впервые\n
SteamAchievements/NEW_ACHIEVEMENT_44_2_NAME	Lab Assistant	Асистент в лабораторията	Assistant de laboratoire\n	Лабораторный ассистент\n
SteamAchievements/NEW_ACHIEVEMENT_44_2_DESC	Finish stage 1 of scientist's item quests	Завърши етап 1 от задачите на учените за предмети	Terminez l’étape 1 des quêtes d’objets du scientifique\n	Завершите 1 этап квестов с предметами учёного\n
SteamAchievements/NEW_ACHIEVEMENT_44_3_NAME	Junior Researcher	Младши изследовател	Chercheur junior\n	Младший исследователь\n
SteamAchievements/NEW_ACHIEVEMENT_44_3_DESC	Finish stage 2 of scientist's item quests	Завърши етап 2 от задачите на учените за предмети	Terminez l’étape 2 des quêtes d’objets du scientifique\n	Завершите 2 этап квестов с предметами учёного\n
SteamAchievements/NEW_ACHIEVEMENT_44_4_NAME	Field Research Specialist	Специалист по полеви изследвания	Spécialiste en recherche sur le terrain\n	Специалист по полевым исследованиям\n
SteamAchievements/NEW_ACHIEVEMENT_44_4_DESC	Finish stage 3 of scientist's item quests	Завърши етап 3 от задачите на учените за предмети	Terminez l’étape 3 des quêtes d’objets du scientifique\n	Завершите 3 этап квестов с предметами учёного\n
SteamAchievements/NEW_ACHIEVEMENT_44_5_NAME	Chief Science Partner	Главен научен партньор	Partenaire scientifique principal\n	Главный научный партнёр\n
SteamAchievements/NEW_ACHIEVEMENT_44_5_DESC	Finish stage 4 of scientist fetch quests	Завърши етап 4 от задачите за събиране на учени.	Terminez l’étape 4 des quêtes de collecte du scientifique\n	Завершите 4 этап заданий на сбор предметов для учёного\n
SteamAchievements/NEW_ACHIEVEMENT_44_6_NAME	Talked Him Off the Tesla Coil	Свали го от Те́сла бобината	Je l’ai convaincu de descendre de la bobine Tesla\n	Отговорил его от катушки Тесла\n
SteamAchievements/NEW_ACHIEVEMENT_44_6_DESC	Save the scientist from himself	Спаси учения от самия него	Sauvez le scientifique de lui-même\n	Спаси учёного от самого себя\n
SteamAchievements/NEW_ACHIEVEMENT_44_7_NAME	Radioactive Geocaching	Радиоактивно геокеширане	Géocaching radioactif\n	Радиоактивный геокешинг\n
SteamAchievements/NEW_ACHIEVEMENT_44_7_DESC	Find 20 radioactive items with Geiger counter	Намери 20 радиоактивни предмета с Гайгеров брояч	Trouvez 20 objets radioactifs avec le compteur Geiger\n	Найди 20 радиоактивных предметов с помощью счётчика Гейгера\n
SteamAchievements/NEW_ACHIEVEMENT_44_8_NAME	Bikini Atoll	Бикини Атол	Atoll de Bikini\n	Атолл Бикини\n
SteamAchievements/NEW_ACHIEVEMENT_44_8_DESC	Find a mannequin on the desert	Намери манекен в пустинята	Trouvez un mannequin dans le désert\n	Найди манекен в пустыне\n
SteamAchievements/NEW_ACHIEVEMENT_44_9_NAME	Environmental Consequences	Екологични последици	Conséquences environnementales\n	Экологические последствия\n
SteamAchievements/NEW_ACHIEVEMENT_44_9_DESC	Find a rare mutated plant in the forest	Намери рядко мутирало растение в гората	Trouvez une plante mutée rare dans la forêt\n	Найди редкое мутировавшее растение в лесу\n
SteamAchievements/NEW_ACHIEVEMENT_44_10_NAME	Meltdown Threshold	Праг на прегряване	Seuil de fusion\n	Порог расплавления\n
SteamAchievements/NEW_ACHIEVEMENT_44_10_DESC	Reach maximum level of irradiation	Достигни максимално ниво на радиация	Atteignez le niveau maximal d’irradiation\n	Достигните максимального уровня облучения\n
SteamAchievements/NEW_ACHIEVEMENT_44_11_NAME	Uranium Mine	Уранова мина	Mine d’uranium\n	Урановая шахта\n
SteamAchievements/NEW_ACHIEVEMENT_44_11_DESC	Enter the uranium mine	Влез в урановата мина	Entrez dans la mine d’uranium\n	Войдите в урановую шахту\n
SteamAchievements/NEW_ACHIEVEMENT_44_12_NAME	Prize Collector	Събирач на награди	Collectionneur de prix\n	Собиратель призов\n
SteamAchievements/NEW_ACHIEVEMENT_44_12_DESC	Get 20 prize boxes using the crane machine	Вземи 20 наградни кутии с помощта на крана.	Obtenez 20 boîtes de prix avec la machine à grue\n	Получите 20 коробок с призами с помощью крана\n
SteamAchievements/NEW_ACHIEVEMENT_44_13_NAME	Peaceful Atom	Спокойна Атомна Бомба	Atome pacifique\n	Мирный атом\n
SteamAchievements/NEW_ACHIEVEMENT_44_13_DESC	Craft a nuclear generator	Изработи ядрен генератор	Fabriquez un générateur nucléaire\n	Создайте ядерный генератор\n
SteamAchievements/NEW_ACHIEVEMENT_44_14_NAME	When Life Gives You Lemons	Когато животът ти поднесе лимони	Quand la vie te donne des citrons\n	Когда жизнь даёт тебе лимоны\n
SteamAchievements/NEW_ACHIEVEMENT_44_14_DESC	Buy 20 lemonades	Купи 20 лимонади	Achetez 20 limonades\n	Купите 20 лимонадов\n
SteamAchievements/NEW_ACHIEVEMENT_44_15_NAME	Expedition 33	Експедиция 33	Expédition 33\n	Экспедиция 33\n
SteamAchievements/NEW_ACHIEVEMENT_44_15_DESC	Complete expeditions to all locations at max level	Изпълни експедиции до всички локации на максимално ниво	Terminez les expéditions vers tous les emplacements au niveau maximum\n	Завершите экспедиции во все локации на максимальном уровне\n
SteamAchievements/NEW_ACHIEVEMENT_44_16_NAME	The Gadget	Устройството	Le gadget\n	Гаджет\n
SteamAchievements/NEW_ACHIEVEMENT_44_16_DESC	Detonate Nuclear bomb	Взриви ядрена бомба	Détoner la bombe nucléaire\n	Подорви ядерную бомбу\n
SteamAchievements/NEW_ACHIEVEMENT_44_17_NAME	Crane Machine Veteran	Ветеран на крана	Vétéran de la machine à grue\n	Ветеран крана\n
SteamAchievements/NEW_ACHIEVEMENT_44_17_DESC	Reach level 10 in the crane machine	Достигни ниво 10 в машината за кранове	Atteignez le niveau 10 à la machine à grue\n	Достигните 10 уровня в игре с краном\n
SteamAchievements/NEW_ACHIEVEMENT_44_18_NAME	Two Birds, One Claw	Две птици, един нокът	Deux oiseaux, une griffe\n	Две птицы одним когтем\n
SteamAchievements/NEW_ACHIEVEMENT_44_18_DESC	Win two prize boxes in a single crane machine move	Спечели две награди от една игра на крана	Gagnez deux boîtes de prix en un seul mouvement de la machine à grue\n	Выиграй две призовые коробки одним ходом крана\n
New Text	kolrotr\t			
afterDeath	You were unconscious for	Ти беше в безсъзнание за	Vous avez été inconscient pendant	Вы были без сознания
days	days	дни	jours	дней
day	day	ден	jour	день
dead	dead	мъртъв	mort	мертв
fainted	fainted	припаднал	évanoui	потерял сознание
houres	hours	часове	heures	ч.
houresUnder5	hours	часове	heures	ч.
hour	hour	час	heure	ч.
minutes	minutes	минути	minutes	мин.
minutesUnder5	minutes	минути	minutes	мин.
minut	minute	минут	minute	мин.
dayShort	d		j	д
hourShort	h		h	ч
minutShort	m		m	м
refresher	olin	олин		
test	The electricity has been cut off!	Токът е спрян!	L'électricité a été coupée!	Электричество отключено!
test2	force	сила	force	ускорить
Bought	bought	купен	acheté	куплено
sold	SOLD	продаден	VENDU	ПРОДАНО
soldSale	No, thanks	Не, благодаря	Non merci	Нет, спасибо
inStock	in stock	на склад	en stock	в наличии
inStockSale	needed	необходим	besoin de	нужно
inspiration	Inspiration	Вдъхновение	Inspiration	Вдохновение
and	and	и	et	и
Sell	Sell	Продай	Vendre	Продать
Give	Give	Дай	Donner	Отдать
total	total	общо	total	всего
demoFinished	        \n<color=#FFC700FF><size=175%>CONGRATULATIONS!\n<line-height=59%><color=#FFFFFFFF><size=100%>You have finished the demo.\nWe really hope that you have enjoyed it. Please feel free to share your feedback so we can make this game better.\n<line-height=70%>\n<pos=4%>Wanna continue playing?	\n<color=#FFC700FF><size=175%>ПОЗДРАВЛЯВАМ!\n<line-height=59%><color=#FFFFFFFF><size=100%>Завърши си демото.\nНадяваме се да си хареса. Сподели мнението си, за да направим играта по-добра.\n<line-height=70%>\n<pos=4%>Искаш да продължиш да играеш?	<color=#FFC700FF><size=175%>FÉLICITATIONS!\n<line-height=59%><color=#FFFFFFFF><size=100%>Vous avez terminé la démo. \nNous espérons vraiment que vous l'avez appréciée. N'hésitez pas à partager vos commentaires afin que nous puissions améliorer le jeu.\n<line-height=70%>\n<pos=4%>Voulez-vous continuer à jouer?	<color=#FFC700FF><size=175%>ПОЗДРАВЛЯЕМ!\n<line-height=59%><color=#FFFFFFFF><size=100%>Вы прошли демоверсию.\nОчень надеемся, что вам понравилось. Не стесняйтесь делиться своими впечатлениями, это поможет улучшить игру.\n<line-height=70%>\n<pos=4%>Хотите поиграть еще?
yes	YES!	Да	OUI!	ДА!
No	No	Не	Non	Нет
openAgent	Open the door, the Agent has come!	Отвори вратата, агентът е тук!	Ouvrez la porte, l'Agent est arrivé!	Агент прибыл, откройте дверь!
tutorialQ	Do you want to play the tutorial?	Искаш ли да играеш туториала?	Voulez-vous jouer le tutoriel?	Хотите пройти обучение?
saveing	Saving	Запазване	Sauvegarde	Сохранение
