# key	english	bulgarian	french	russian
Items/UraniumCentrifuge	Uranium Centrifuge	Уранов центрофуга	Centrifugeuse à uranium\n	Урановая центрифуга\n
Items/DesUraniumCentrifuge	An advanced piece of nuclear engineering — essentially a washing machine for radioactive isotopes. It enriches uranium into nuclear fuel and can also decontaminate certain irradiated items.	Напреднало ядрено инженерство — по същество пералня за радиоактивни изотопи. Обогатява уран в ядрено гориво и може да деконтаминира определени облъчени предмети.	Une réalisation avancée du génie nucléaire — essentiellement une machine à laver pour isotopes radioactifs. \nElle enrichit l'uranium en combustible nucléaire et peut aussi décontaminer certains objets irradiés.\n	Передовое достижение ядерной инженерии — по сути стиральная машина для радиоактивных изотопов. \nОно обогащает уран до ядерного топлива и также может очищать некоторые облучённые предметы.\n
Items/DestroyedHazmatSuit	Destroyed hazmat suit	Унищожен защитен костюм	Combinaison hazmat détruite\n	Разрушенный защитный костюм\n
Items/GeigerCounter	Geiger Counter	Гейгер брояч	Compteur Geiger\n	Счётчик Гейгера\n
Items/HazmatBackpack	Hazmat Backpack	Бункерарски раница	Sac à dos hazmat\n	Рюкзак для опасных веществ\n
Items/HazmatBackpackV2	Hazmat Backpack	Пакет за опасни материали	Sac à dos hazmat\n	Рюкзак для опасных веществ\n
Items/HazmatBackpackV3	Hazmat Backpack	Бункерарски раница	Sac à dos hazmat\n	Рюкзак для опасных веществ\n
Items/DesHazmatBackpack	This backpack is specifically designed to shield the user from alpha, beta and gamma radiation. You can safely carry radioactive items in it.	Този раница е специално проектирана да предпазва потребителя от алфа, бета и гама радиация. Можеш безопасно да носиш радиоактивни предмети в нея.	Ce sac à dos est spécialement conçu\npour protéger l’utilisateur contre les radiations alpha, bêta et gamma.\nVous pouvez y transporter des objets radioactifs en toute sécurité.\n	Этот рюкзак специально разработан,\nчтобы защищать пользователя от альфа-, бета- и гамма-излучения.\nВ нём можно безопасно переносить радиоактивные предметы.\n
Items/OldGasMask	Old Gas Mask	Стара противогазова маска	Ancien masque à gaz\n	Старая противогазная маска\n
Items/NuclearEngineeringBook	Harnessing the Fabric of Reality: Nuclear Engineering in Your House and Backyard	Използване на тъканта на реалността: ядрена инженерна в твоя дом и двор	Dompter la trame de la réalité : Le génie nucléaire dans votre maison et votre jardin\n	Обуздание ткани реальности: Ядерная инженерия у тебя дома и во дворе\n
Items/DesNuclearEngineeringBook	Nuclear physic doesn't have to be rocket science! Advice from this book will help you store and enrich uranium, build nuclear generators, and bring the power of atom to your household!	Ядрената физика не е сложна! Съветите от тази книга ще ти помогнат да съхраняваш и обогатяваш уран, да строиш ядрени генератори и да донесеш силата на атома в дома си!	La physique nucléaire n'a pas besoin d'être une science de fusée ! \nLes conseils de ce livre vous aideront à stocker et enrichir l'uranium, \nconstruire des générateurs nucléaires et apporter la puissance de l'atome à votre domicile !\n	Ядерная физика не обязательно должна быть ракетостроением! \nСоветы из этой книги помогут вам хранить и обогащать уран, \nстроить ядерные генераторы и приносить силу атома в ваш дом!\n
Items/NuclearGenerator	Nuclear Generator	Ядрен генератор	Générateur nucléaire\n	Ядерный генератор\n
Items/DesNuclearGenerator	A small, modular nuclear fission reactor. Chain reaction releases immense amount of energy.	Малък, модулен ядрен реактор. Верижна реакция освобождава огромно количество енергия.	Un petit réacteur nucléaire à fission modulaire. \nLa réaction en chaîne libère une quantité immense d'énergie.\n	Малый модульный ядерный реактор деления. \nЦепная реакция высвобождает огромное количество энергии.\n
Items/UraniumPickRock	Uranium-rich rock	Ураниева скала	Roche riche en uranium\n	Рок, богатый ураном\n
Items/RadiatedRatMeat	Radiated rat meat	Радиоактивна плъша месо	Viande de rat irradiée\n	Радиоактивное крысиное мясо\n
Items/DesRadiatedRatMeat	This radiated rat meat would surely be a great delicacy in a post-nuclear wasteland. Maybe bombarding with radioactive isotopes brings out rich, intense flavors? In the meantime, it's inadvisable to eat it. If it spoils, it turns into Nuclear Material. You can clear its radiation in a Centrifuge.	Тази радиационна плъша месо би било чудесна деликатес в пост-ядрена пустош. Може би обстрелването с радиоактивни изотопи извлича богати, интензивни вкусове? Междувременно, не е препоръчително да го ядеш. Ако се развали, се превръща в Ядрен материал. Можеш да изчистиш радиацията му в Центрофуга.	Cette viande de rat irradiée serait sûrement un grand délice dans un désert post-nucléaire. \nPeut-être que la bombardement avec des isotopes radioactifs fait ressortir des saveurs riches et intenses ? \nEn attendant, il n'est pas conseillé de la manger. \nSi elle se gâte, elle se transforme en Matériau Nucléaire. \nVous pouvez éliminer sa radiation dans une Centrifugeuse.\n	Это радиоактивное крысиное мясо наверняка стало бы отличным деликатесом в постъядерной пустоши. \nВозможно, облучение радиоактивными изотопами придает богатый и интенсивный вкус? \nПока что есть его не рекомендуется. \nЕсли оно испортится, превращается в Ядерный Материал. \nВы можете очистить его радиацию в Центрифуге.\n
Items/MiningPassSix	Deeper Mine Pass -1	По-дълбок минен пропуск -1	Pass d'accès - Mine profonde, -1\n	Пропуск в глубокую шахту -1\n
Items/DesMiningPassSix	Pass card to the level -1 in the deeper mine.	Карта за достъп до ниво -1 в по-дълбоката мина.	Carte d'accès au niveau -1 dans la mine profonde.\n	Пропуск на уровень -1 в глубокой шахте.\n
Items/MiningPassSeven	Deeper Mine Pass -2	По-дълбок минен пропуск -2	Pass d'accès - Mine profonde, -2\n	Пропуск в глубокую шахту -2\n
Items/DesMiningPassSeven	Pass card to the level -2 in the deeper mine.	Карта за достъп до ниво -2 в по-дълбоката мина.	Carte d'accès au niveau -2 dans la mine profonde.\n	Пропуск на уровень -2 в глубокой шахте.\n
Items/MiningPassEight	Deeper Mine Pass -3	По-дълбок минен пропуск -3	Pass d'accès - Mine profonde, -3\n	Пропуск в глубокую шахту -3\n
Items/DesMiningPassEight	Pass card to level -3 in the deeper mine.	Карта за достъп до ниво -3 в по-дълбоката мина.	Carte d'accès au niveau -3 dans la mine profonde.\n	Пропуск на уровень -3 в глубокой шахте.\n
Items/MiningPassNine	Deeper Mine Pass -4	По-дълбок минен пропуск -4	Pass d'accès - Mine profonde, -4\n	Пропуск в глубокую шахту -4\n
Items/DesMiningPassNine	Pass card to the level -4 in the deeper mine.	Карта за достъп до ниво -4 в по-дълбоката мина.	Carte d'accès au niveau -4 dans la mine profonde.\n	Пропуск на уровень -4 в глубокой шахте.\n
Items/RadioactiveClothes	Hazmat Suit	Защитен костюм	Vêtements de protection contre les radiations	Костюм для химзащиты
Items/DesKeyRadioactiveClothes	There are places that require more protection.\nUse it in radioactive areas – it will protect you from most sources of radiation.	Има места, които изискват повече защита.\nИзползвай го в радиоактивни зони – ще те предпази от повечето източници на радиация.	Il y a des endroits qui demandent plus de protection. \nÀ utiliser dans les endroits radioactifs.	Есть места, которые требуют большей защиты.\nИспользуйте их в зонах с повышенной радиацией.
Items/Lemonade	Lemonade	Лимонада	Limonade\n	Лимонад\n
Items/DesLemonade	Lemonade from a local girl scout. The taste could be better, but it's full of good intentions.	Лимонада от местна скаутка. Вкусът може да е по-добър, но е пълна с добри намерения.	Limonade d'une scout locale. \nLe goût pourrait être meilleur, mais elle est pleine de bonnes intentions.\n	Лимонад от местной девочки-скаута. \nВкус мог бы быть лучше, но он полон добрых намерений.\n
Items/AlienIncubator	Alien Incubator	Инкубатор за извънземни	Incubateur extraterrestre\n	Инкубатор с пришельцем\n
Items/DesAlienIncubator	A piece of life-supporting alien technology. There is some kind of organism inside. Alive or not, hard to say.	Парче извънземна технология, поддържаща живота. Вътре има някакъв организъм. Жив или не, трудно е да се каже.	Un fragment de technologie extraterrestre de survie. \nIl y a une sorte d'organisme à l'intérieur. \nVivant ou non, difficile à dire.\n	Фрагмент инопланетной технологии жизнеобеспечения. \nВнутри находится какой-то организм. \nЖивой он или нет, трудно сказать.\n
Items/AtomicWaste	Atomic waste	Атомни отпадъци	Déchets atomiques\n	Атомные отходы\n
Items/AtomicWasteRespawning	Atomic waste	Ядрена отпадъка	Déchets atomiques\n	Атомные отходы\n
Items/DesAtomicWaste	Spent nuclear fuel. Should be kept in a safe and remote place. Ideally.	Използвано ядрено гориво. Трябва да се съхранява на сигурно и отдалечено място. Идеално.	Combustible nucléaire usé. \nDoit être conservé dans un endroit sûr et isolé. \nIdéalement.\n	Отработанное ядерное топливо. \nСледует хранить в безопасном и удаленном месте. \nВ идеале.\n
Items/BlueberryWildRadioactive	Radioactive blueberry	Радиоактивен боровинка	Myrtille radioactive\n	Радиоактивная черника\n
Items/GuaranaWildRadioactive	Radioactive guarana	Радиоактивна гуарана	Guarana radioactive\n	Радиоактивная гуарана\n
Items/Mannequin	Mannequin	Манекен	Mannequin\n	Манекен\n
Items/DesMannequin	A dummy designed specifically for testing the effects of nuclear explosion.	Манекен за тестване на ефектите от ядрена експлозия.	Un mannequin conçu spécifiquement pour tester les effets d'une explosion nucléaire.\n	Манекен, специально созданный для тестирования эффектов ядерного взрыва.\n
Items/OldGasMask2	Old gas mask	Стара противогазова маска	Ancien masque à gaz\n	Старая противогазовая маска\n
Items/DesOldGasMask2	An old gas mask that was used in the mine. Provides weak protection from radiation.	Стара противогазова маска, използвана в мината. Осигурява слаба защита от радиация.	Un ancien masque à gaz utilisé dans la mine. \nOffre une faible protection contre les radiations.\n	Старая противогазовая маска, использовавшаяся в шахте. \nОбеспечивает слабую защиту от радиации.\n
Items/RadioactivePlant	Ludus reiectus	Отхвърлен от обществото	Ludus reiectus	Лудус реиектус\n
Items/DesRadioactivePlant	Rare plant species, producing unusual biochemical effects when irradiated. To be found only deep in the forest.	Радиоактивно растение, което произвежда необичайни биохимични ефекти при облъчване. Може да се намери само дълбоко в гората.	Espèce végétale rare produisant des effets biochimiques inhabituels lorsqu'elle est irradiée. \nÀ trouver uniquement au fond de la forêt.\n	Редкий вид растения, вызывающий необычные биохимические эффекты при облучении. \nВстречается только глубоко в лесу.\n
Items/Tektite	Trinitite	Тринитит	Trinitite\n	Тринитит\n
Items/DesTektite	Rare glassy material found in the desert after nuclear explosions. 	Редки стъклени материали, намерени в пустинята след ядрени експлозии.	Matériau vitreux rare trouvé dans le désert après des explosions nucléaires.\n	Редкий стекловидный материал, найденный в пустыне после ядерных взрывов.\n
Items/BlueberrieRadioactive	Irradiated blueberries	Радиоактивни боровинки	Myrtilles irradiées\n	Облучённые черники\n
Items/BlueberrieRadioactiveBowl	Irradiated blueberries	Радиоактивни боровинки	Myrtilles irradiées\n	Облучённые черники\n
Items/DesBlueberrieRadioactive	Blueberries that got irradiated. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.	Сини сливи, които са били облъчени. Ако се развалят, се превръщат в ядрен материал. Дозата радиация може да се премахне в центрофугата.	Myrtilles irradiées. \nSi elles se gâtent, elles se transforment en matière nucléaire. \nLa dose de radiation peut être éliminée dans la centrifugeuse.\n	Черника, подвергшаяся облучению. \nЕсли она испортится, превращается в ядерный материал. \nДозу радиации можно устранить в центрифуге.\n
Items/GuaranaRadioactive	Irradiated guarana	Радиоактивна гуарана	Guarana irradié\n	Облучённая гуарана\n
Items/GuaranaRadioactiveBowl	Irradiated guarana	Радиоактивна гуарана	Guarana irradié\n	Облучённая гуарана\n
Items/DesGuaranaRadioactive	Guarana that was subject to radiation. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.	Гуарана, изложена на радиация. Ако се развали, се превръща в ядрен материал. Дозата радиация може да се премахне в центрофугата.	Guarana soumis à la radiation. \nSi elle se gâte, elle se transforme en matière nucléaire. \nLa dose de radiation peut être éliminée dans la centrifugeuse.\n	Гуарана, подвергшаяся облучению. \nЕсли она испортится, превращается в ядерный материал. \nДозу радиации можно устранить в центрифуге.\n
Items/RadiatedSnakeMeat	Irradiated snake meat	Радиоактивна змийска месо	Viande de serpent irradiée\n	Облучённое змеиное мясо\n
Items/DesRadiatedSnakeMeat	Meat of snakes that got irradiated. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.	Месо от змии, което е облъчено. Ако се развали, се превръща в ядрен материал. Дозата радиация може да се изчисти в центрофугата.	Viande de serpent irradiée. \nSi elle se gâte, elle se transforme en matière nucléaire. \nLa dose de radiation peut être éliminée dans la centrifugeuse.\n	Мясо змей, подвергшееся облучению. \nЕсли оно испортится, превращается в ядерный материал. \nДозу радиации можно устранить в центрифуге.\n
Items/RadiatedWildMeat	Irradiated slice of meat	Радиоактивна филия месо	Tranche de viande irradiée\n	Облучённый кусок мяса\n
Items/DesRadiatedWildMeat	Meat from an irradiated wild animal. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.	Месо от облъчено диво животно. Ако се развали, се превръща в ядрен материал. Дозата радиация може да се премахне в центрофугата.	Viande d’un animal sauvage irradié. \nSi elle se gâte, elle se transforme en matière nucléaire. \nLa dose de radiation peut être éliminée dans la centrifugeuse.\n	Мясо облучённого дикого животного. \nЕсли оно испортится, превращается в ядерный материал. \nДозу радиации можно устранить в центрифуге.\n
Items/MetalToilet	Metal toilet	Метален тоалет	Toilettes en métal\n	Металлический унитаз\n
Items/DesMetalToilet	A metal toilet, for this stern, rough, industrial vibe to your interior.	Метален тоалет за суров, индустриален вид на интериора ти.	Des toilettes en métal, pour donner une ambiance stricte, brute et industrielle à votre intérieur.\n	Металлический унитаз для строгого, грубого, индустриального вида вашего интерьера.\n
Items/NuclearBomb	Nuclear bomb	Ядрена бомба	Bombe nucléaire\n	Атомная бомба\n
Items/DesNuclearBomb	A nuke. An ultimate tech gadget. If you're too close to it going off, it will kill you and everything you love.	Ядрена бомба. Най-върховното технологично устройство. Ако си твърде близо до експлозията, ще те убие и всичко, което обичаш.	Une bombe nucléaire. Un gadget technologique ultime. \nSi vous êtes trop près lorsqu'elle explose, elle tuera vous et tout ce que vous aimez.\n	Ядерная бомба. Максимальный технологический гаджет. \nЕсли ты окажешься слишком близко во время взрыва, она убьет тебя и всё, что тебе дорого.\n
Items/OldComputer	Old computer	Стар компютър	Vieux ordinateur\n	Старый компьютер\n
Items/DesOldComputer	An old computer, probably requiring some obscure skills to operate.	Стар компютър, вероятно изискващ някакви странни умения за работа.	Un vieil ordinateur, nécessitant probablement des compétences obscures pour l'utiliser.\n	Старый компьютер, для работы с которым, вероятно, требуются редкие навыки.\n
Items/SeaBomb	Sea mine	Морска мина	Mine marine\n	Морская мина\n
Items/DesSeaBomb	Hard to say how did it end up here, hundreds of miles away from the sea. Just better be careful with this.	Трудно е да се каже как се е озовал тук, на стотици километри от морето. Просто бъди внимателен с това.	Difficile de dire comment cela a fini ici, à des centaines de kilomètres de la mer. \nMieux vaut juste être prudent avec ça.\n	Трудно сказать, как это оказалось здесь, за сотни миль от моря. \nПросто лучше быть осторожным с этим.\n
Items/UraniumCompanySign	Murricaville Uranium Company	Ураниева компания в Мюрикавил	Entreprise d’uranium Murricaville\n	Урановая компания Murricaville\n
Items/PostmanAndroid	Postman Android	Пощальон Андроид	Facteur Android\n	Почтальон-андроид\n
Items/NuclearGeneratorPowerPlant	Nuclear generator	Ядрен генератор	Générateur nucléaire\n	Ядерный генератор\n
Items/SwitchGearPowerPlant	Electric switchgear	Електрическо разпределително табло	Tableau électrique\n	Электрощитовая\n
Items/ScientistPlansPowerPlant	Scientist's plans	Планове на учените	Plans du scientifique\n	Планы учёного\n
Items/RadiationPurgeBeacon	Deionizing Beacon	Дейонизиращ маяк	Balise déionisante\n	Деионизирующий маяк\n
Items/DesRadiationPurgeBeacon	This mysterious device neutralizes radiation in its vicinity.	Това мистериозно устройство неутрализира радиацията в близост до него.	Cet appareil mystérieux neutralise les radiations à proximité.\n	Это загадочное устройство нейтрализует радиацию в его окрестности.\n
Items/ReactorSafetySystem	Reactor safety system	Системата за безопасност на реактора	Système de sécurité du réacteur\n	Система безопасности реактора\n
Items/DesReactorSafetySystem	A device that provides stabilization and containment for the reactor.	Устройство, което осигурява стабилизация и съдържание за реактора.	Un dispositif qui assure la stabilisation et le confinement du réacteur.\n	Устройство, обеспечивающее стабилизацию и containment реактора.\n
Items/CraneMinigameActivator	Crane controller	Контролер на крана	Contrôleur de grue\n	Пульт управления краном\n
Items/SeedsMaker	Pitter	Питър	Dénoyauteur\n	Удалитель косточек\n
Items/DesSeedsMaker	Quickly and effectively takes out seeds from fruits and vegetables.	Бързо и ефективно изважда семена от плодове и зеленчуци.	Retire rapidement et efficacement les graines des fruits et légumes.\n	Быстро и эффективно удаляет семена из фруктов и овощей.\n
Items/MannequinDeco1	Decorative Mannequin	Декоративен манекен	Mannequin décoratif\n	Декоративный манекен\n
Items/DesMannequinDeco1	A nuclear test dummy. Used, apparently. For an interior that's cozy, but also reminds you of impending doom. 	Манекен за ядрен тест. Използван, явно. За интериор, който е уютен, но също така ти напомня за наближаващата гибел.	Un mannequin de test nucléaire. Apparemment utilisé. \nPour un intérieur chaleureux, mais qui rappelle aussi la menace imminente. \n	Манекен для ядерных испытаний. Видимо, использованный. \nДля интерьера, который уютен, но напоминает о грядущей катастрофе. \n
Items/MannequinDeco2	Decorative Mannequin	Декоративен манекен	Mannequin décoratif\n	Декоративный манекен\n
Items/DesMannequinDeco2	A nuclear test dummy which hasn't seen action yet. Or maybe survived in a sheltered place.	Манекен за ядрен тест, който още не е виждал бой. Или може би е оцелял на скрито място.	Un mannequin de test nucléaire qui n’a pas encore servi. \nOu peut-être a-t-il survécu dans un endroit protégé. \n	Манекен для ядерных испытаний, который ещё не был использован. \nИли, может быть, он выжил в укрытом месте. \n
Items/RailGun	Pulse Gun	Пулс оръжие	Fusil à impulsion\n	Импульсная пушка\n
Items/DesRailGun	High-power, high-precision, high-impact firearm.	Високоскоростно, високоточно, високоударно огнестрелно оръжие.	Arme à feu de haute puissance, haute précision et fort pouvoir de pénétration.\n	Огнестрельное оружие высокой мощности, высокой точности и большой пробивной способности.\n
Items/AtomicGranade	Atomic grenade	Атомна граната	Grenade atomique\n	Атомная граната\n
Items/DesAtomicGranade	A grenade with enriched uranium for extra flavor.	Граната с обогатен уран за допълнителен вкус.	Une grenade avec de l'uranium enrichi pour plus de saveur.\n	Граната с обогащённым ураном для дополнительного «вкуса».\n
Items/DepletedUraniumAmo	Depleted uranium ammunition	Амуниции с обеднен уран	Munitions en uranium appauvri\n	Боеприпасы из обеднённого урана\n
Items/DesDepletedUraniumAmo	Ammo rounds made of depleted uranium, with armor-penetrating and incendiary qualities.	Патрони от обеднен уран, с бронебоен и запалителен ефект.	Projectiles en uranium appauvri, dotés de caractéristiques perforantes et incendiaires.\n	Снаряды из обеднённого урана, обладающие бронепробивными и зажигательными свойствами.\n
Items/DepletedUraniumShotgunShell	Depleted uranium shotgun shell	Патрон за пушка с обеднен уран	Cartouche de fusil en uranium appauvri\n	Патрон для дробовика из обеднённого урана\n
Items/DesDepletedUraniumShotgunShell	Shotgun shell with depleted uranium, for better target penetration.	Патрон за пушка с обеднен уран, за по-добро проникване в целта.	Cartouche de fusil en uranium appauvri pour une meilleure pénétration de la cible.\n	Патрон для дробовика из обеднённого урана для лучшего проникновения в цель.\n
Items/DangerSign	Danger Sign	Знак за опасност	Panneau de danger\n	Знак опасности\n
Items/DesDangerSign	Interior decoration for when you just miss your cortysol while at home.	Вътрешна декорация за когато ти липсва твоят кортизол у дома.	Décoration intérieure pour les moments où l'on regrette son cortisol à la maison.\n	Декор для интерьера на те моменты, когда дома скучаешь по кортизолу.\n
Items/CautionSign	Caution Sign	Знак за опасност	Panneau de précaution\n	Предупреждающий знак\n
Items/DesCautionSign	Reminds you to always be prepared.	Напомня ти винаги да си подготвен.	Vous rappelle d’être toujours prêt.\n	Напоминает вам всегда быть готовым.\n
Items/EmergancyStopLever	Emergency stop lever	Авариен стоп лост	Levier d’arrêt d’urgence\n	Рычаг аварийной остановки\n
Items/DesEmergancyStopLever	Just pull in case of emergency. Or is it push?	Дръпни в случай на спешност. Или е бутане?	Tirez simplement en cas d’urgence. Ou faut-il pousser ?\n	Просто тяните в случае чрезвычайной ситуации. Или нужно толкать?\n
Items/LedLavaLamp	LED lava lamp	Лава лампа LED	Lampe à lave LED\n	Светодиодная лавовая лампа\n
Items/DesLedLavaLamp	Energy-saving and modern-looking lava lamp.	Енергоспестяваща и модерна лампа с лава.	Lampe à lave économe en énergie et au design moderne.\n	Энергоэффективная и современная лавовая лампа.\n
Items/RocketLavaLamp	Rocket Lava Lamp	Лава лампа с ракети	Lampe à lave en forme de fusée\n	Лавовая лампа в форме ракеты\n
Items/DesRocketLavaLamp	A beautiful decoration piece. For feeling cozy, but also dreaming of escape.	Един красив декоративен предмет. За да се чувстваш уютно, но и да мечтаеш за бягство.	Un bel objet de décoration. Pour se sentir confortable, mais aussi pour rêver d’évasion.\n	Красивый декоративный предмет. Для уюта, но также для мечтаний об escape.\n
Items/RadioactiveFridge	Atomic Age Fridge	Атомна хладилна камера	Réfrigérateur de l’ère atomique\n	Холодильник атомной эпохи\n
Items/DesRadioactiveFridge	A fridge designed to remind you of the dangers and possibilities of atomic age. Also, irradiated food can be safely kept there.	Хладилник, който ти напомня за опасностите и възможностите на атомната ера. Също така, там можеш да съхраняваш безопасно облъчена храна.	Un réfrigérateur conçu pour rappeler les dangers et les possibilités de l’ère atomique.  \nDe plus, les aliments irradiés peuvent y être conservés en toute sécurité.\n	Холодильник, созданный, чтобы напоминать о опасностях и возможностях атомной эпохи.  \nТакже там можно безопасно хранить облучённые продукты.\n
Items/UraniumClock	Uranium clock	Часовник с уран	Horloge en uranium\n	Урановые часы\n
Items/DesUraniumClock	A clock with fluerescent elements, with this unmistakable uranium glow.	Часовник с флуоресцентни елементи, с този несъмнен уранен блясък.	Une horloge avec des éléments fluorescents, avec cette lueur d’uranium inimitable.\n	Часы с флуоресцентными элементами и этим неповторимым урановым свечением.\n
Items/UraniumTable	Uranium table	Работна маса за изработка на уран	Table en uranium\n	Урановый стол\n
Items/DesUraniumTable	An elaborate wooden table with a tabletop of uranium glass. It radiates luxury. 	Елегантна дървена маса с плот от уранов кристал. Излъчва лукс.	Une table en bois élaborée avec un plateau en verre d’uranium.  \nElle rayonne de luxe.\n	Изысканный деревянный стол с столешницей из уранового стекла.  \nОн излучает роскошь.\n
Items/UraniumWardrobe	Uranium wardrobe	Ураниева гардеробна	Armoire en uranium\n	Урановый шкаф\n
Items/DesUraniumWardrobe	An oldschool wooden wardrobe, with uranium glass in the doors. Your clothes will glow not only on you.	Стара дървена гардероб с ураниево стъкло на вратите. Дрехите ти ще светят не само на теб.	Une armoire en bois à l’ancienne, avec du verre d’uranium dans les portes.  \nVos vêtements brilleront non seulement sur vous.\n	Старинный деревянный шкаф с урановым стеклом в дверцах.  \nВаша одежда будет светиться не только на вас.\n
Items/Goggles	Goggles	Очила	Lunettes de protection\n	Очки\n
Items/DesGoggles	Protective goggles, for rounding up your industrial look. And also for protection.	Защитни очила, за да завършиш индустриалния си вид. И също така за защита.	Lunettes de protection pour parfaire votre look industriel.  \nEt aussi pour la protection.\n	Защитные очки, чтобы завершить ваш индустриальный образ.  \nА также для защиты.\n
Items/BigUraniumRod	Big uranium rod	Голям уран прът	Grosse tige d’uranium\n	Большой урановый стержень\n
Items/DesBigUraniumRod	A portion of nuclear fuel. Can be disassembled for raw materials.	Част от ядрено гориво. Може да се разглоби за суровини.	Une portion de combustible nucléaire.  \nPeut être démontée pour obtenir des matières premières.\n	Порция ядерного топлива.  \nМожно разобрать на сырьевые материалы.\n
Items/AutoPlanter	Auto Planter	Автоматичен плантер	Planteur automatique\n	Автопосадчик\n
Items/DesAutoPlanter	A wonder of agricultural mechanization: allows you to plant seeds fast and in large quantities.	Чудо на селскостопанската механизация: позволява ти да засаждаш семена бързо и в големи количества.	Une merveille de la mécanisation agricole :  \npermet de semer rapidement et en grande quantité.\n	Чудо сельскохозяйственной механизации:  \nпозволяет быстро сажать семена в больших количествах.\n
Items/AutoHarvester	Auto Harvester	Автоматичен събирач	Moissonneuse automatique\n	Автоматический комбайн\n
Items/DesAutoHarvester	Farmer's best friend: automatic harvester.	Най-добрият приятел на фермера: автоматичен комбайн.	Le meilleur ami de l’agriculteur : moissonneuse automatique.\n	Лучший друг фермера: автоматический комбайн.\n
Items/UraniumLamp	Uranium lamp	Ураниева лампа	Lampe en uranium\n	Урановая лампа\n
Items/DesUraniumLamp	Bask yourself and your interior in the glow of atomic age.	Наслади се на блясъка на атомната ера в твоя бункер.	Baignez-vous, vous et votre intérieur, dans la lueur de l’ère atomique.\n	Окуни себя и интерьер в сияние атомной эпохи.\n
Items/NuclearFuel	Nuclear fuel	Ядрена гориво	Combustible nucléaire\n	Ядерное топливо\n
Items/DesNuclearFuel	Fuel enriched with radioactive material. Can be used instead of regular fuel. Makes particles go faster or something.	Гориво, обогатено с радиоактивен материал. Може да се използва вместо обикновено гориво. Прави частиците да се движат по-бързо или нещо такова.	Carburant enrichi en matériau radioactif.  \nPeut être utilisé à la place du carburant ordinaire.  \nFait aller les particules plus vite ou quelque chose comme ça.\n	Топливо, обогащённое радиоактивным материалом.  \nМожно использовать вместо обычного топлива.  \nУскоряет частицы или что-то вроде того.\n
Items/LemonadeKid	Lemonade girl scout	Момиче от скаутския отряд за лимонада	Éclaireuse de limonade\n	Лимонадная скаутка\n
Items/ArmyChestNuclear	Army Chest	Бункера на армията	Caisse militaire\n	Военный сундук\n
Items/CraneMinigameBox	Crane Box	Кутия с кран	Caisse pour grue\n	Крановый ящик\n
Items/NuclearRefueler	Nuclear Generator Refueler	Ядрен генератор за презареждане	Ravitailleur de générateur nucléaire\n	Загрузчик топлива для ядерного генератора\n
Items/DesNuclearRefueler	Controls steady input of nuclear rods into nuclear generator. Improves both efficiency and safety.	Контролира стабилното подаване на ядрени пръти в ядрения генератор. Подобрява както ефективността, така и безопасността.	Contrôle l’entrée régulière des barres nucléaires dans le générateur nucléaire.  \nAméliore à la fois l’efficacité et la sécurité.\n	Контролирует равномерную подачу ядерных стержней в ядерный генератор.  \nПовышает как эффективность, так и безопасность.\n
Items/Scientist	Dr. Edward	Д-р Едуард	Dr. Edward\n	Др. Эдвард\n
Items/Lemon	Lemon	Лимон	Citron\n	Лимон\n
Items/DesLemon	When life gives you lemons, make lemonade.	Когато животът ти дава лимони, направи лимонада.	Quand la vie te donne des citrons, fais de la limonade.\n	Если жизнь дает тебе лимоны, сделай лимонад.\n
Items/SeedLemon	Lemon Seed	Семе от лимон	Graine de citron\n	Семя лимона\n
Items/DesSeedLemon	Put into a patch of soil to grow an lemon tree. You need a high room for that.	Засади в парче почва, за да порасне лимоново дърво. Нуждаеш се от висока стая за това.	Plantez-le dans un morceau de terre pour faire pousser un citronnier.  \nIl vous faut une pièce haute pour cela.\n	Посадите в участок земли, чтобы вырастить лимонное дерево.  \nДля этого нужна высокая комната.\n
Items/LemonadeRecipie	Lemonade Recipe	Рецепта за лимонада	Recette de limonade\n	Рецепт лимонада\n
Items/DesLemonadeRecipie	A secret girl scout recipe for the perfect refreshing drink. Requires patience, lemons, and a pinch of adventure.	Тайна рецепта на скаутките за перфектната освежаваща напитка. Изисква търпение, лимони и щипка приключение.	Une recette secrète de scout pour la boisson rafraîchissante parfaite.  \nNécessite patience, citrons et une pincée d’aventure.\n	Секретный рецепт скауток для идеального освежающего напитка.  \nТребуются терпение, лимоны и щепотка приключений.\n
Items/ExpeditionBox	Expedition box	Кутия за експедиция	Caisse d’expédition\n	Экспедиционный ящик\n
Items/AtomicBarrel	Atomic Barrel	Атомен варел	Baril Atomique	Атомная бочка
Items/DesKeyAtomicBarrel	A heavy, lead-lined barrel for storing radioactive items safely.	Тежък оловен варел за безопасно съхранение на радиоактивни предмети.	Un lourd baril doublé de plomb pour stocker en toute sécurité des objets radioactifs.\n	Тяжелая бочка с свинцовой облицовкой для безопасного хранения радиоактивных предметов.\n
Items/NuclearComposter	Nuclear Composter	Ядрен компостер	Composteur nucléaire\n	Ядерный компостер\n
