# key	english
UI/Blueprint	Blueprint
Items/FarmInvitation	Work Order - Farm
Items/DescFarmInvitation	Work order from Agency. Frightening to open.
Items/LargeRoomAquarium1	Room Aquarium
Items/LargeRoomAquarium1x2	Room Aquarium
Items/LargeRoomAquarium2	Room Aquarium
Items/LargeRoomAquarium2x2	Room Aquarium
Items/LargeRoomAquarium3	Room Aquarium
Items/LargeRoomAquarium3x2	Room Aquarium
Items/LargeRoomAquarium4	Room Aquarium
Items/LargeRoomAquarium4x2	Room Aquarium
Items/SmallAquarium	Small aquarium
Items/DesSmallAquarium	Small round aquarium. You can keep fish of a minnow type in it. 
Items/LargeAquarium	Medium aquarium
Items/DesLargeAquarium	Perfect fit for a table. You can keep minnows, basses and perches in it. 
Items/RoomUpgradeFarm	Room Upgrade - Animal Farm
Items/DesRoomUpgradeFarm	Turn a room into perfect space for keeping farm animals. Your animals thank you for that and be more productive in return.
Items/WheelLamp	Wheel lamp
Items/DesWheelLamp	This retro lamp will add a touch of a medieval dungeon to your shelter room. It doesn't use any electricity, but its light is very weak.
Items/SunLamp	Sun lamp
Items/DesSunLamp	This lamp switches between day mode and night mode to help you keep track of natural cycles when you stay underground.
Items/PlankCabinetWhite	White plank cabinet
Items/DesPlankCabinetWhite	Simply designed cabinet made of planks. A white variant.
Items/PlankCabinetRed	Red plank cabinet
Items/DesPlankCabinetRed	Simply designed cabinet made of planks. A red variant.
Items/PlankCabinetWhiteSmall	Small white plank cabinet
Items/DesPlankCabinetWhiteSmall	Small, simple cabinet made of planks. A white variant.
Items/PlankCabinetRedSmall	Small red plank cabinet
Items/DesPlankCabinetRedSmall	Small, simple cabinet made of planks. A red variant.
Items/UfoLamp	Ufo lamp
Items/DesUfoLamp	A stylish lamp to help you remember your otherworldly adventures. Zeta Reticuli-approved.
Items/SpottedSofaBlackWhite	Spotted sofa - black-white
Items/DesSpottedSofaBlackWhite	Relaxing sofa with a rustic feel. Sit back and long for greener pastures. A black-white variant.
Items/SpottedSofaBrownWhite	Spotted sofa - brown-white
Items/DesSpottedSofaBrownWhite	Relaxing sofa with a rustic feel. Sit back and long for greener pastures. A brown-white variant.
Items/WillAndHenPortrait	American Dystopic
Items/DesWillAndHenPortrait	A working man, his loyal rooster, and a caring government supervisor; contemplate on the traditional American countryside lifestyle with this skillful painting.
Items/BeeWaxCandle	Beeswax candle
Items/DesBeeWaxCandle	Beeswax candle, for when you want some light without electricity or you just want to set up a mood.
Items/Dungarees	Dungarees
Items/DesDungarees	Embody the hands-on, farming spirit with these heavy-duty dungarees.
Items/CheckeredShirt	Plaid shirt
Items/DesCheckeredShirt	For those devoted to hard work or those in their cottagecore arc. Either way, it will look great on you.
Items/FishermanHat	Fisherman hat
Items/DesFishermanHat	This beautiful fisherman hat is a trophy proving your mastery of the art of fishing. It also allows you to catch common fish automatically. Wear it with pride!
Items/CoffeeMachine	Coffee Machine
Items/DesKeyCoffeeMachine	Bring the aroma and taste of coffee to your shelter and let this machine serve you. 
Items/Halabard	Halberd
Items/DesHalabard	This staple of medieval warfare is rather slow, but deals significant damage, has long range and lets you hit multiple enemies at a time. Also, its sheer awesomeness will sow terror in the hearts of your opponents.
Items/Shotgun	Shotgun
Items/DesShotgun	An effective weapon for decimating Murricaville County's wildlife at short range. 
Items/TeslaCoilGun	Tesla Coil Gun
Items/DesTeslaCoilGun	Ever thought your weapons are just somehow not cool enough? Tesla Coil Gun, hitting your enemies with thunders, will suit you well. Don't worry about ammo, just be careful not to overheat it.
Items/ShotgunShell	Shotgun Shell
Items/DesShotgunShell	A shell for your shotgun.
Items/MysteryBlueprint	Mystery Blueprint
Items/DesMysteryBlueprint	Joe says this blueprint is beyond his expertise, but he says it describes a very valuable device. Maybe if you could try to construct it...?
Items/CoffeeBeans	Coffee bag
Items/DesCoffeeBeans	A bag of coffee with fresh beans from your own produce. Tasty and energizing.
Items/SeedCoffeaBeans	Coffee seeds
Items/DesSeedCoffeaBeans	Seeds you can use to grow more coffee plants.
Items/MinigameUndeadHell	Undead Hell
Items/DesMinigameUndeadHell	Find out how well can you prep against the zombie invasion in this exciting tower defence game.  Move around the map and set up towers to shoot the incoming zombies. But watch out, you are not immune to the rockets from your towers! 
Items/MinigameFreedomRoad	Freedom Road
Items/DesMinigameFreedomRoad	Show off your evasive manoeuvres in this desert-ride arcade game. Drive away from the obstacles and security forces, collect fuel, and go towards freedom.
Items/MinigameEventFlyer	Game Competition Event Flyer
Items/DesMinigameEventFlyer	The advert for a game competition. Apparently, you can play a game and win prizes. What's not to like?
Items/MinigameEventRewardInfo	Game Competition Reward
Items/DesMinigameEventRewardInfo	This flyer proudly confirms your score and winnings in a game competition.
Items/NuclearMaterial	Nuclear Material
Items/DesNuclearMaterial	Nuclear material. May have some uses in manufacturing advanced items.
Items/Uranium	Uranium Ore
Items/DesUranium	Ore with a radioactive element uranium. Can be processed into nuclear material and nuclear fuel.
Items/NuclearRod	Nuclear rod
Items/DesNuclearRod	A portion of nuclear fuel. A very efficient source of energy.
Items/JoeUraniumLetter	Letter from Joe - A Curious Find
Items/DesJoeUraniumLetter	A letter from Joe, scribbled with his wobbly, enthusiastic handwriting.
Items/UraniumGlass	Uranium Glass Bottle
Items/UraniumGlassRespawn	Uranium Glass Bottle
Items/DesUraniumGlass	A decorative glass made with the addition of uranium. It has a distinctive color and glows in UV light.\nIt has a Murricaville Uranium Co. stamp on it.
Items/AntiRadiation	Anti-radiation extract
Items/DesAntiRadiation	Anti-radiation extract made of radiated mushrooms. Herbalism truly adapted to atomic age.
Items/UraniumMushroom	Radiated Mushroom
Items/DesUraniumMushroom	Mushroom taken from the uranium mine, a product of many generations of growing in a radioactive environment. Looks even tasty, but this temptation should be resisted.
Items/UraniumCentrifuge	Uranium Centrifuge
Items/DesUraniumCentrifuge	An advanced piece of nuclear engineering — essentially a washing machine for radioactive isotopes. It enriches uranium into nuclear fuel and can also decontaminate certain irradiated items.
Items/DestroyedHazmatSuit	Destroyed hazmat suit
Items/GeigerCounter	Geiger Counter
Items/HazmatBackpack	Hazmat Backpack
Items/HazmatBackpackV2	Hazmat Backpack
Items/HazmatBackpackV3	Hazmat Backpack
Items/DesHazmatBackpack	This backpack is specifically designed to shield the user from alpha, beta and gamma radiation. You can safely carry radioactive items in it.
Items/OldGasMask	Old Gas Mask
Items/NuclearEngineeringBook	Harnessing the Fabric of Reality: Nuclear Engineering in Your House and Backyard
Items/DesNuclearEngineeringBook	Nuclear physic doesn't have to be rocket science! Advice from this book will help you store and enrich uranium, build nuclear generators, and bring the power of atom to your household!
Items/NuclearGenerator	Nuclear Generator
Items/DesNuclearGenerator	A small, modular nuclear fission reactor. Chain reaction releases immense amount of energy.
Items/UraniumPickRock	Uranium-rich rock
Items/RadiatedRatMeat	Radiated rat meat
Items/DesRadiatedRatMeat	This radiated rat meat would surely be a great delicacy in a post-nuclear wasteland. Maybe bombarding with radioactive isotopes brings out rich, intense flavors? In the meantime, it's inadvisable to eat it. If it spoils, it turns into Nuclear Material. You can clear its radiation in a Centrifuge.
Items/MiningPassSix	Deeper Mine Pass -1
Items/DesMiningPassSix	Pass card to the level -1 in the deeper mine.
Items/MiningPassSeven	Deeper Mine Pass -2
Items/DesMiningPassSeven	Pass card to the level -2 in the deeper mine.
Items/MiningPassEight	Deeper Mine Pass -3
Items/DesMiningPassEight	Pass card to level -3 in the deeper mine.
Items/MiningPassNine	Deeper Mine Pass -4
Items/DesMiningPassNine	Pass card to the level -4 in the deeper mine.
Items/RadioactiveClothes	Hazmat Suit
Items/DesKeyRadioactiveClothes	There are places that require more protection.\nUse it in radioactive areas – it will protect you from most sources of radiation.
Items/Lemonade	Lemonade
Items/DesLemonade	Lemonade from a local girl scout. The taste could be better, but it's full of good intentions.
Items/AlienIncubator	Alien Incubator
Items/DesAlienIncubator	A piece of life-supporting alien technology. There is some kind of organism inside. Alive or not, hard to say.
Items/AtomicWaste	Atomic waste
Items/AtomicWasteRespawning	Atomic waste
Items/DesAtomicWaste	Spent nuclear fuel. Should be kept in a safe and remote place. Ideally.
Items/BlueberryWildRadioactive	Radioactive blueberry
Items/GuaranaWildRadioactive	Radioactive guarana
Items/Mannequin	Mannequin
Items/DesMannequin	A dummy designed specifically for testing the effects of nuclear explosion.
Items/OldGasMask2	Old gas mask
Items/DesOldGasMask2	An old gas mask that was used in the mine. Provides weak protection from radiation.
Items/RadioactivePlant	Ludus reiectus
Items/DesRadioactivePlant	Rare plant species, producing unusual biochemical effects when irradiated. To be found only deep in the forest.
Items/Tektite	Trinitite
Items/DesTektite	Rare glassy material found in the desert after nuclear explosions. 
Items/BlueberrieRadioactive	Irradiated blueberries
Items/BlueberrieRadioactiveBowl	Irradiated blueberries
Items/DesBlueberrieRadioactive	Blueberries that got irradiated. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.
Items/GuaranaRadioactive	Irradiated guarana
Items/GuaranaRadioactiveBowl	Irradiated guarana
Items/DesGuaranaRadioactive	Guarana that was subject to radiation. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.
Items/RadiatedSnakeMeat	Irradiated snake meat
Items/DesRadiatedSnakeMeat	Meat of snakes that got irradiated. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.
Items/RadiatedWildMeat	Irradiated slice of meat
Items/DesRadiatedWildMeat	Meat from an irradiated wild animal. If it spoils, it turns into Nuclear Material. Radiation dose can be cleared in the centrifuge.
Items/MetalToilet	Metal toilet
Items/DesMetalToilet	A metal toilet, for this stern, rough, industrial vibe to your interior.
Items/NuclearBomb	Nuclear bomb
Items/DesNuclearBomb	A nuke. An ultimate tech gadget. If you're too close to it going off, it will kill you and everything you love.
Items/OldComputer	Old computer
Items/DesOldComputer	An old computer, probably requiring some obscure skills to operate.
Items/SeaBomb	Sea mine
Items/DesSeaBomb	Hard to say how did it end up here, hundreds of miles away from the sea. Just better be careful with this.
Items/UraniumCompanySign	Murricaville Uranium Company
Items/PostmanAndroid	Postman Android
Items/NuclearGeneratorPowerPlant	Nuclear generator
Items/SwitchGearPowerPlant	Electric switchgear
Items/ScientistPlansPowerPlant	Scientist's plans
Items/RadiationPurgeBeacon	Deionizing Beacon
Items/DesRadiationPurgeBeacon	This mysterious device neutralizes radiation in its vicinity.
Items/ReactorSafetySystem	Reactor safety system
Items/DesReactorSafetySystem	A device that provides stabilization and containment for the reactor.
Items/CraneMinigameActivator	Crane controller
Items/SeedsMaker	Pitter
Items/DesSeedsMaker	Quickly and effectively takes out seeds from fruits and vegetables.
Items/MannequinDeco1	Decorative Mannequin
Items/DesMannequinDeco1	A nuclear test dummy. Used, apparently. For an interior that's cozy, but also reminds you of impending doom. 
Items/MannequinDeco2	Decorative Mannequin
Items/DesMannequinDeco2	A nuclear test dummy which hasn't seen action yet. Or maybe survived in a sheltered place.
Items/RailGun	Pulse Gun
Items/DesRailGun	High-power, high-precision, high-impact firearm.
Items/AtomicGranade	Atomic grenade
Items/DesAtomicGranade	A grenade with enriched uranium for extra flavor.
Items/DepletedUraniumAmo	Depleted uranium ammunition
Items/DesDepletedUraniumAmo	Ammo rounds made of depleted uranium, with armor-penetrating and incendiary qualities.
Items/DepletedUraniumShotgunShell	Depleted uranium shotgun shell
Items/DesDepletedUraniumShotgunShell	Shotgun shell with depleted uranium, for better target penetration.
Items/DangerSign	Danger Sign
Items/DesDangerSign	Interior decoration for when you just miss your cortysol while at home.
Items/CautionSign	Caution Sign
Items/DesCautionSign	Reminds you to always be prepared.
Items/EmergancyStopLever	Emergency stop lever
Items/DesEmergancyStopLever	Just pull in case of emergency. Or is it push?
Items/LedLavaLamp	LED lava lamp
Items/DesLedLavaLamp	Energy-saving and modern-looking lava lamp.
Items/RocketLavaLamp	Rocket Lava Lamp
Items/DesRocketLavaLamp	A beautiful decoration piece. For feeling cozy, but also dreaming of escape.
Items/RadioactiveFridge	Atomic Age Fridge
Items/DesRadioactiveFridge	A fridge designed to remind you of the dangers and possibilities of atomic age. Also, irradiated food can be safely kept there.
Items/UraniumClock	Uranium clock
Items/DesUraniumClock	A clock with fluerescent elements, with this unmistakable uranium glow.
Items/UraniumTable	Uranium table
Items/DesUraniumTable	An elaborate wooden table with a tabletop of uranium glass. It radiates luxury. 
Items/UraniumWardrobe	Uranium wardrobe
Items/DesUraniumWardrobe	An oldschool wooden wardrobe, with uranium glass in the doors. Your clothes will glow not only on you.
Items/Goggles	Goggles
Items/DesGoggles	Protective goggles, for rounding up your industrial look. And also for protection.
Items/BigUraniumRod	Big uranium rod
Items/DesBigUraniumRod	A portion of nuclear fuel. Can be disassembled for raw materials.
Items/AutoPlanter	Auto Planter
Items/DesAutoPlanter	A wonder of agricultural mechanization: allows you to plant seeds fast and in large quantities.
Items/AutoHarvester	Auto Harvester
Items/DesAutoHarvester	Farmer's best friend: automatic harvester.
Items/UraniumLamp	Uranium lamp
Items/DesUraniumLamp	Bask yourself and your interior in the glow of atomic age.
Items/NuclearFuel	Nuclear fuel
Items/DesNuclearFuel	Fuel enriched with radioactive material. Can be used instead of regular fuel. Makes particles go faster or something.
Items/LemonadeKid	Lemonade girl scout
Items/ArmyChestNuclear	Army Chest
Items/CraneMinigameBox	Crane Box
Items/NuclearRefueler	Nuclear Generator Refueler
Items/DesNuclearRefueler	Controls steady input of nuclear rods into nuclear generator. Improves both efficiency and safety.
Items/Scientist	Dr. Edward
Items/Lemon	Lemon
Items/DesLemon	When life gives you lemons, make lemonade.
Items/SeedLemon	Lemon Seed
Items/DesSeedLemon	Put into a patch of soil to grow an lemon tree. You need a high room for that.
Items/LemonadeRecipie	Lemonade Recipe
Items/DesLemonadeRecipie	A secret girl scout recipe for the perfect refreshing drink. Requires patience, lemons, and a pinch of adventure.
Items/ExpeditionBox	Expedition box
Items/AtomicBarrel	Atomic Barrel
Items/DesKeyAtomicBarrel	A heavy, lead-lined barrel for storing radioactive items safely.
Items/NuclearComposter	Nuclear Composter
Items/DesNuclearComposter	A sealed composter for irradiated food. Items stored inside decay faster, converting into Nuclear Material.
Items/AtomicBarrelNuclear	Atomic Barrel
Items/Seed Cactus	Cactus seeds
Items/DesKeySeed Cactus	You want to bring your spiky desert friends down to your shelter? Cacti are sturdy plants with some culinary applications.
Items/Seed Mushroom	Mushroom spores
Items/DesKeySeed Mushroom	You can start growing your own mushrooms, enriching your kitchen with a valuable ingredient and bringing the unique damp atmosphere of the mine into your home.
Items/Seed Pepper	Pepper seeds
Items/DesKeySeed Pepper	Spice up your life and be a prepper with your own pepper, 
Items/BeetSalad	Beet salad
Items/DesKeyBeetSalad	Beet-based salad. It has an unobvious taste, but is awful healthy and would impress your more sophistacted friends on a cocktail party... if you had such friends and threw cocktail parties.
Items/CornSalad	Corn salad
Items/DesKeyCornSalad	A rather simple salad, but the addition of corn makes it look appealing and taste sweet.
Items/SunflowerSeedSalad	Sunflower seed salad
Items/DesKeySunflowerSeedSalad	A salad with sunflower seeds. It's earthy, full taste almost rewards the effort of peeling the seeds. 
Items/ClearBodySoup	Lemon detox soup
Items/DesKeyClearBodySoup	An untypical, but simple soup made of lemons and a hefty does of salt. Strong taste, even stronger cleansing effects.
Items/MeatChineseSoup	Instant ramen - meat taste
Items/DesKeyMeatChineseSoup	Taste of noodles and sodium glutamate, a pleasure simple yet powerful.
Items/NightWalkerSoup	Night walker soup
Items/DesKeyNightWalkerSoup	The unusual mix of strong ingredients in this soup will make you see better in the dark. Don't eat too much though, as it might make you hear colors.
Items/TomatoChineseSoup	Instant ramen - tomato taste
Items/DesKeyTomatoChineseSoup	A quick and satisfying classic in a vegetarian version.
Items/CoffeeFlavouredStew	Coffee flavoured stew
Items/DesKeyCoffeeFlavouredStew	You can have coffee to your meal, but you can also have coffee in your meal. Nourishing and stimulating at the same time.
Items/HunterStew	Hunter stew
Items/DesKeyHunterStew	This nourishing stew is a condensed spirit of the forest. It will make you feel like a part of nature, attuned to its inner rhythms.
Items/MinerStew	Miner stew
Items/DesKeyMinerStew	Highly nutritional stew with a deep, earthy taste. The depths are calling you, grab your pickaxe and reach for the treasures.
Items/ScavengerStew	Scavenger stew
Items/DesKeyScavengerStew	A stew made of your lucky desert finds. Makes you more aware of the desert and its inhabitants.
Items/CoffeeFlavouredStewCan	Coffee flavoured stew can
Items/DesKeyCoffeeFlavouredStewCan	Like coffee to go, but it's actually a meal.
Items/HunterStewCan	Hunter stew can
Items/DesKeyHunterStewCan	Spirit of the forest, portable form.
Items/MinerStewCan	Miner stew can
Items/DesKeyMinerStewCan	A handy can of stew, you can take it with you to your shift in the mine.
Items/NightWalkerSoupCan	Night walker soup can
Items/DesKeyNightWalkerSoupCan	A can that allows you to store your inner nightly beast for longer.
Items/ScavengerStewCan	Scavenger stew can
Items/DesKeyScavengerStewCan	Store your scavenger stew for longer, pick it up whenever the desert calls you.
Items/AppleSmoothie	Apple smoothie
Items/DesKeyAppleSmoothie	Apples turned into a sweet delight.
Items/CactusSmoothie	Cactus smoothie
Items/DesKeyCactusSmoothie	Too spiky? Then why not make it liquid?
Items/CoffeeSmoothie	Coffee smoothie
Items/DesKeyCoffeeSmoothie	You're not sentenced to drink your coffee black like the humanity's future, you can also have it smooth and sweet and whimsical. 
Items/GuaranaSmoothie	Guarana smoothie
Items/DesKeyGuaranaSmoothie	Delightful, but also stimulating.
Items/OrangeSmoothie	Orange smoothie
Items/DesKeyOrangeSmoothie	It's like the sun itself got blended in a glass. Delicious.
Items/PizzaCapricciosa	Pizza capricciosa
Items/DesKeyPizzaCapricciosa	Mushrooms add an elegant note to this flavor mix.
Items/PizzaDiavola	Pizza diavola
Items/DesKeyPizzaDiavola	Devilish not only due to its spiciness, but also the wild meat used. So nutritient you could sell your soul over this.
Items/PizzaMarinara	Pizza marinara
Items/DesKeyPizzaMarinara	A classic pizza with a savory note.
Items/PizzaQuattroFormaggi	Pizza quattro formaggi
Items/DesKeyPizzaQuattroFormaggi	Let's face it, you probably can't differentiate four kinds of cheese in this molten mass, but it's a delicious calory bomb.
Items/AppleEnergyBar	Apple energy bar
Items/DesKeyAppleEnergyBar	Effective energy boost from dried apples.
Items/BerriesEnergyBar	Berries energy bar
Items/DesKeyBerriesEnergyBar	Effective energy boost from dried berries.
Items/LemonEnergyBar	Lemon energy bar
Items/DesKeyLemonEnergyBar	Effective energy boost from dried lemons.
Items/OrangeEnergyBar	Orange energy bar
Items/DesKeyOrangeEnergyBar	Effective energy boost from dried oranges.
Items/AppleJam	Apple jam
Items/DesKeyAppleJam	Brings back the memory of your grandma's apple pie. You'll probably never be able to replicate this exact taste though.
Items/LemonJam	Lemon jam
Items/DesKeyLemonJam	Delicious sour taste, rich in antioxidants, may help your teeth stay white in case of caffeine overuse.
Items/Cookie	Cookie
Items/DesKeyCookie	No one would resist such a delicious cookie. Who knows, maybe it could even soften the heart of an Agent?
Items/Tiramisu	Tiramisu
Items/DesKeyTiramisu	An exquisite, coffee-flavoured cake. It's so delicious and nutritional it will make you feel much better about yourself and life in general.
Items/SunflowerButter	Sunflower butter
Items/DesKeySunflowerButter	A healthy, plant-based butter.
Items/DriedLemon	Dried lemon
Items/DesKeyDriedLemon	This ingredient is incredibly useful in making lemon-flavored things.
Items/Hardtack	Hardtack
Items/DesKeyHardtack	Simple to make, extremely durable. Might also require extremely durable teeth to eat.
Items/PrepperMix	PrepperMix
Items/DesKeyPrepperMix	This is not just a kitchen robot. It's a philosophy. It's a lifestyle. Automate your meals and taste the luxury.
Items/RoastedChickenLeg	Roasted chicken leg
Items/DesRoastedChickenLeg	An easy, simple classic. Not a culinary masterpiece, but will do as a quick snack.
Items/RoastedCorn	Roasted corn
Items/DesKeyRoastedCorn	Out of many things you can do with corn, this might be the tastiest choice.
Items/EmptyCan	Empty can
Items/DesKeyEmptyCan	There's no food there anymore, but you can scrap it for materials. Recycling!
Items/EmptyJar	Empty jar
Items/DesKeyEmptyJar	There's no food there anymore, but you can scrap it for materials. Recycling!
Items/Cage	Cage
Items/Car	Car
Items/WardrobeHerbalist	Wardrobe
Items/ClimbingChalk	Climbing Chalk
Items/DesClimbingChalk	Make it easyer to climb. Loses it's effect after while.
Items/Fibre	Fibre
Items/DesFibre	Basic Material. Needed to craft Ropes.
Items/Line	Rope
Items/DesLine	Can be placed on vertical walls. Makes it much easyer to climb. Some places can only by accessed with a rope.
Items/MountainHerb	Mountain Herb
Items/MountainHerbWild	Mountain Herb
Items/DesMountainHerb	Can be used to brew a tea that restores stamina and prepperedness. Recipie for it need to be unlocked first.          
Items/Platform	Platform
Items/DesPlatform	Can be placed on gaps that are missing floor. It needs Platform Spports for wider gaps.
Items/PlatformSupport	Platform Support
Items/DesPlatformSupport	Used to support platforms placed across longer gaps in the floor.
Items/Vine	Vine
Items/DesVine	You can deconstruct it into Fibre.
Items/VineLine	Vine Line
Items/DesVineLine	Can be placed on vertical walls. Makes it much easyer to climb. Some places can only by accessed with a rope.
Items/WalkieTalkie	Walkie Talkie
Items/DesWalkieTalkie	Don't go to The Mountain without it.
Items/WorkbenchMountainUpgrade1	Mountain Workbench Upgrade 1
Items/DesWorkbenchMountainUpgrade1	Basic essetials to climb mountains.
Items/WorkbenchMountainUpgrade2	Mountain Workbench Upgrade 2
Items/DesWorkbenchMountainUpgrade2	Basic essetials to climb mountains.
Items/IceMachine	IceMachine
Items/DesIceMachine	DesIceMachine
Items/CryoTechNote1	CryoTechNote2
Items/CryoTechNote2	CryoTechNote3
Items/CryoTechNote3	CryoTechNote4
Items/CryoTechNote4	CryoTechNote5
Items/CryoTechNote5	CryoTechNote6
Items/DesCryoTechNote1	DesCryoTechNote2
Items/DesCryoTechNote2	DesCryoTechNote3
Items/DesCryoTechNote3	DesCryoTechNote4
Items/DesCryoTechNote4	DesCryoTechNote5
Items/DesCryoTechNote5	DesCryoTechNote6
Items/ClimbingBook	ClimbingBook
Items/DesClimbingBook	DesClimbingBook
Items/PumaExpertBook	PumaExpertBook
Items/DesPumaExpertBook	DesPumaExpertBook
Items/WalrusBook2	WalrusBook3
Items/DesWalrusBook2	DesWalrusBook3
Items/BasicHikingClothes	BasicHikingClothes
Items/DesBasicHikingClothes	DesBasicHikingClothes
Items/MountainLootBox1	MountainLootBox2
Items/MountainLootBox2	MountainLootBox3
Items/MountainLootBox3	MountainLootBox4
Items/DesMountainLootBox1	DesMountainLootBox2
Items/DesMountainLootBox2	DesMountainLootBox3
Items/DesMountainLootBox3	DesMountainLootBox4
Items/CryoSleepPod	CryoSleepPod
Items/DesCryoSleepPod	DesCryoSleepPod
Items/CryoTeslaCoilGun	CryoTeslaCoilGun
Items/DesCryoTeslaCoilGun	DesCryoTeslaCoilGun
Items/FreezeDryer	FreezeDryer
Items/DesFreezeDryer	DesFreezeDryer
Items/HeatPack	HeatPack
Items/DesHeatPack	DesHeatPack
Items/HerbTea	HerbTea
Items/DesHerbTea	DesHerbTea
Items/HikingBackpack	HikingBackpack
Items/DesHikingBackpack	DesHikingBackpack
Items/HikingClothes	HikingClothes
Items/DesHikingClothes	DesHikingClothes
Items/Ice	Ice
Items/DesIce	DesIce
Items/Iceaxe	Iceaxe
Items/DesIceaxe	DesIceaxe
Items/IceCream	IceCream
Items/DesIceCream	DesIceCream
Items/IceCreamMachine	IceCreamMachine
Items/DesIceCreamMachine	DesIceCreamMachine
Items/IceMiningRock	IceMiningRock
Items/MountainInitLetter	MountainInitLetter
Items/DesMountainInitLetter	DesMountainInitLetter
Items/MountainInitPackage	MountainInitPackage
Items/DesMountainInitPackage	DesMountainInitPackage
Items/Piton	Piton
Items/DesPiton	DesPiton
Items/Safe	Safe
Items/DesSafe	DesSafe
Items/Snow	Snow
Items/DesSnow	DesSnow
Items/Sorter	Sorter
Items/DesSorter	DesSorter
Items/Thermos	Thermos
Items/DesThermos	DesThermos
Items/Titan	Titan
Items/DesTitan	DesTitan
Items/TitanFurnace	TitanFurnace
Items/DesTitanFurnace	DesTitanFurnace
Items/TitanOre	TitanOre
Items/DesTitanOre	DesTitanOre
Items/TitanRock	TitanRock
Items/TravelRefrigerator	TravelRefrigerator
Items/DesTravelRefrigerator	DesTravelRefrigerator
Items/Puma	Puma
Items/FirstAidKit	First Aid Kit
Items/MountainPlankCabinetWhiteSmall	Small white plank cabinet
Items/MountainArmyChest	Army Chest
Items/MountainRailwayController	Railway Controller
Items/Marshmallow	Marshmallow
Items/DesMarshmallow	
Items/ClimbWall	Climbing Wall
Items/CottageSofa	CottageSofa
Items/DesCottageSofa	DesCottageSofa
Items/CuckooClock	CuckooClock
Items/DesCuckooClock	DesCuckooClock
Items/Fireplace	Fireplace
Items/DesFireplace	DesFireplace
Items/FurRag	FurRag
Items/DesFurRag	DesFurRag
Items/MountainViewWindow	MountainViewWindow
Items/DesMountainViewWindow	DesMountainViewWindow
Items/OilLamp	OilLamp
Items/DesOilLamp	DesOilLamp
Items/SnowGlobe	SnowGlobe
Items/DesSnowGlobe	DesSnowGlobe
Items/Snowmaker	Snowmaker
Items/DesSnowmaker	DesSnowmaker
Items/SnowManBase1	SnowManBase2
Items/DesSnowManBase1	DesSnowManBase2
Items/SnowManBase2	SnowManBase3
Items/DesSnowManBase2	DesSnowManBase3
Items/SnowManCylinder	SnowManCylinder
Items/DesSnowManCylinder	DesSnowManCylinder
Items/SnowManHat	SnowManHat
Items/DesSnowManHat	DesSnowManHat
Items/SnowManHead1	SnowManHead2
Items/DesSnowManHead1	DesSnowManHead2
Items/SnowManHead2	SnowManHead3
Items/DesSnowManHead2	DesSnowManHead3
Items/SnowManMiddle1	SnowManMiddle2
Items/DesSnowManMiddle1	DesSnowManMiddle2
Items/SnowManMiddle2	SnowManMiddle3
Items/DesSnowManMiddle2	DesSnowManMiddle3
Items/MountainInfiniteLevelNote	Diane Note
Items/MountainLogs	Logs for later
Items/SnowmanBook	How to Build a Snowman
Items/DesSnowmanBook	DesSnowmanBook
Items/MountainHerbBook	MountainHerbBook
Items/DesMountainHerbBook	DesMountainHerbBook
Items/MountainTraderNote	MountainTraderNote
Items/YetiFootPrint	Big Foot Print
Items/YetiHandPrint	Big Hand Print
Items/YetiRock	Yeti-shaped Rock
Skills/ArtOfNegotiationBook1	Better prices achieved in trade.
Skills/ArtOfNegotiationBook2	Even better prices achieved in trade.
Skills/BuilderBook	Faster building of shelter rooms.
Skills/DoItYourselfBook1	Faster crafting.
Skills/DoItYourselfBook2	Even faster crafting.
Skills/GardeningBook1	Faster plants growth.
Skills/GardeningBook2	Even faster plants growth.
Skills/HealthyEatingBook	More health from food.
Skills/MartialArtsBook1	More damage and speed in fight. \nLets you move and attack simultaneously.
Skills/MartialArtsBook2	Even more damage and speed in fight. \nLets you move and attack simultaneously.\nUnlocks critical hits.
Skills/NoSleepBook	More stamina and Preparedness gained from sleeping and napping.
Skills/PetrolheadBook	Smaller fuel usage in cars and other machines.
Skills/PreppersGuideBook	Slower Preparedness drain.
Skills/StrengthTrainingBook1	You can carry more.
Skills/StrengthTrainingBook2	You can carry even more.
Skills/WalrusBook	Better resistance to cold.
Skills/	
Skills/FishTemptationTechniques	Fish catch baits faster.
Skills/GroundbaitVirtuoso	You gain a chance of not losing a bait when fishing.
Skills/MaintenanceOfTheFishermansEquipment	Fishing rods wear out slower.
Skills/AnimalExtractionBook	You get more of a product out of every animal (wool, milk, etc.)
Skills/AnimalsWhispererBook	Animals are no longer scared of you. \nUnlocks new interactions.
Skills/ClimbingBook	Stamina drains slower while climbing.
Skills/WalrusBook2	Even better resistance to cold.
Skills/PumaExpertBook	You can't be suprise attacked by pumas.
Letter/herbTittel	Dear Neighbor,
Letter/herbSignature	The Local Herbalist
